filename,filesize,codec,compression_time,resolution,bitrate_kbps,PSNR,compression_ratio
output_h265_1920x1080_3000k.mp4,23652050,h265,59.19503164291382,1920x1080,3000,49.34,0.8637286408577692
output_h265_1920x1080_3500k.mp4,27261742,h265,63.11806750297546,1920x1080,3500,49.86,0.7493634486013403
output_h265_1280x720_100k.mp4,3261415,h265,15.59878396987915,1280x720,100,37.72,3.4188602186474277
output_h265_1280x720_200k.mp4,3983592,h265,17.533201932907104,1280x720,200,41.03,2.7990622533632963
output_h265_1280x720_300k.mp4,4686115,h265,20.21417236328125,1280x720,300,43.04,2.3794384047339854
output_h265_1280x720_400k.mp4,5397103,h265,21.809122800827023,1280x720,400,44.37,2.0659828059609016
output_h265_1280x720_500k.mp4,6106511,h265,22.04698610305786,1280x720,500,45.4,1.825972638057968
output_h265_1280x720_750k.mp4,7879785,h265,25.75252103805542,1280x720,750,47.1,1.4150540909428366
output_h265_1280x720_1000k.mp4,9658172,h265,25.998671054840088,1280x720,1000,48.34,1.154496109615774
output_h265_1280x720_1250k.mp4,11438895,h265,25.411020517349243,1280x720,1250,49.17,0.9747726506799826
output_h265_1280x720_1500k.mp4,13226295,h265,26.814129114151,1280x720,1500,49.84,0.8430419856807972
output_h265_1280x720_2000k.mp4,16836406,h265,29.64865493774414,1280x720,2000,50.9,0.6622744782942392
output_h265_1280x720_2500k.mp4,20497009,h265,33.94080591201782,1280x720,2500,51.62,0.5439975169060032
output_h265_1280x720_3000k.mp4,24164302,h265,35.48413133621216,1280x720,3000,52.25,0.4614377853744751
output_h265_1280x720_3500k.mp4,27845669,h265,36.432222843170166,1280x720,3500,52.82,0.4004329003551683
